arm,role,update,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce
seq,ood_dev,10000,11,102400,0,1645,486417,1126400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016064453125,0.01531236540613202,0.01685284843640957,0.43183327414772726,4.096263623870909
seq,ood_dev,10000,12,102400,0,1735,488152,1228800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016943359375,0.016170814160317883,0.017752146241686355,0.39725911458333335,4.09632214683108
seq,ood_dev,10000,13,102400,0,1716,489868,1331200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0167578125,0.01598953884727668,0.017562341725507667,0.36798978365384616,4.096431038801093
seq,ood_dev,10000,14,102400,0,1667,491535,1433600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016279296875,0.015522155292928382,0.017072729930815194,0.34286760602678573,4.096587334487122
seq,ood_dev,10000,15,102400,0,1695,493230,1536000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016552734375,0.015789210913578336,0.01735252879533139,0.32111328125,4.09643744782079
seq,ood_dev,10000,16,102400,0,1820,495050,1638400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0177734375,0.01698207724119868,0.018600977133631385,0.302154541015625,4.0960546211735345
seq,ood_dev,10000,17,102400,0,1683,496733,1740800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016435546875,0.01567475168184742,0.01723262181913395,0.2853475413602941,4.096511540601496
seq,ood_dev,10000,18,102400,0,1689,498422,1843200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016494140625,0.01573198002662403,0.017292576578321527,0.27041124131944444,4.096574634832796
seq,ood_dev,10000,19,102400,0,1702,500124,1945600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01662109375,0.015855983477047735,0.017422469853153533,0.25705386513157896,4.096356398737989
seq,ood_dev,10000,20,102400,0,1665,501789,2048000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016259765625,0.015503082034887343,0.017052742154201505,0.24501416015625,4.096570551707409
seq,ood_dev,10000,21,102400,0,1662,503451,2150400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01623046875,0.015474472688896538,0.017022759948210224,0.23411969866071428,4.0963192805391735
seq,ood_dev,10000,22,102400,0,1700,505151,2252800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0166015625,0.015836905251750164,0.017402487043796374,0.2242325106534091,4.096475720172748
seq,ood_dev,10000,23,102400,0,1746,506897,2355200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01705078125,0.016275774250670384,0.017862021841934844,0.215224609375,4.096198049120139
seq,ood_dev,10000,24,102400,0,1757,508654,2457600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017158203125,0.016380742477780357,0.01797188930542586,0.20697184244791667,4.096443514716811
seq,ood_dev,10000,25,102400,0,1670,510324,2560000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01630859375,0.01555076571978533,0.01710271105594033,0.1993453125,4.096003307097126
seq,ood_dev,10000,26,102400,0,1684,512008,2662400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0164453125,0.015684289562204114,0.017242614456104623,0.19231069711538462,4.096335193095729
seq,ood_dev,10000,27,102400,0,1744,513752,2764800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01703125,0.016256689990451302,0.0178420450674992,0.18581886574074075,4.096203014764469
seq,ood_dev,10000,28,102400,0,1791,515543,2867200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017490234375,0.016705240370903412,0.018311429001433132,0.17980712890625,4.096470903244335
seq,ood_dev,10000,29,102400,0,1686,517229,2969600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01646484375,0.015703365535630627,0.017262599517332833,0.17417463631465518,4.096310041632969
seq,ood_dev,10000,30,102400,0,1696,518925,3072000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0165625,0.01579874964096129,0.017362520585275803,0.1689208984375,4.096243848011364
seq,ood_dev,10000,31,102400,0,1657,520582,3174400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016181640625,0.015426791892705764,0.01697278815776418,0.16399382560483872,4.096220273389481
seq,ood_dev,10000,32,102400,0,1718,522300,3276800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01677734375,0.016008619293442074,0.017582322313996996,0.159393310546875,4.095874779140576
seq,ood_dev,10000,33,102400,0,1704,524004,3379200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016640625,0.01587506198163439,0.0174424523832216,0.15506747159090908,4.0963547348650176
seq,ood_dev,10000,34,102400,0,1676,525680,3481600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0163671875,0.01560798851048257,0.017162671369207273,0.15098805147058825,4.096063864701428
seq,ood_dev,10000,35,102400,0,1769,527449,3584000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017275390625,0.016495262462912757,0.018091735528221815,0.14716768973214286,4.0960364366672
seq,ood_dev,10000,36,102400,0,1706,529155,3686400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01666015625,0.015894140765027154,0.017462434634483562,0.14354248046875,4.096186327284667
seq,dev,25000,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.01710725238997089
seq,dev,25000,2,102400,100694,100694,203094,204800,0.98333984375,0.9825375653655165,0.9841058592349728,0.98333984375,0.9825375653655165,0.9841058592349728,0.991669921875,0.07432223840150012
seq,dev,25000,3,102400,100505,102124,305218,307200,0.981494140625,0.9806504352306518,0.9823017215949659,0.9973046875,0.9969679373533121,0.9976041270253059,0.9935481770833333,0.010642535276559444
seq,dev,25000,4,102400,98728,99730,404948,409600,0.964140625,0.9629842438163991,0.9652621837184951,0.97392578125,0.9729318214198084,0.9748841844771032,0.988642578125,0.08636901946775492
seq,dev,25000,5,102400,89862,91533,496481,512000,0.87755859375,0.8755367111752987,0.8795521497351979,0.893876953125,0.8919757202341261,0.8957486351303936,0.969689453125,0.340979262495115
seq,dev,25000,6,102400,54780,58619,555100,614400,0.5349609375,0.531904734730418,0.5380145173015403,0.572451171875,0.5694183870648037,0.5754785209869002,0.9034830729166666,1.428527625465785
seq,dev,25000,7,102400,14681,19292,574392,716800,0.143369140625,0.14123605737158032,0.14552898035046138,0.1883984375,0.18601512817441002,0.19080512494410107,0.801328125,3.066771628734138
seq,dev,25000,8,102400,2653,6427,580819,819200,0.025908203125,0.024952834730634085,0.02689914057788911,0.062763671875,0.06129449685054819,0.06426565085144181,0.709007568359375,3.7858651674519788
seq,dev,25000,9,102400,357,3050,583869,921600,0.003486328125,0.0031434665138013167,0.003866441011097124,0.02978515625,0.028761470616859762,0.030844120070626417,0.6335384114583333,4.014432777821261
