first_update,update,updates_in_bin,training_seconds,loss,token_accuracy,whole_word_exact,grad_norm
70201,70300,100,3860.954582779006,0.0008293047538154496,0.9998706138134003,0.999375,0.23934247651020996
70301,70400,100,3866.5685107010104,0.0016532635392377416,0.999781910777092,0.99919921875,0.33748204088798955
70401,70500,100,3872.161796220018,0.0007816802209345042,0.9998771250247955,0.999453125,0.17466708498075603
70501,70600,100,3877.722754866012,0.0008884292739730882,0.9998665457963943,0.9994140625,0.20970076266152318
70601,70700,100,3883.275486214021,0.0010867602896996688,0.9998339945077896,0.999296875,0.22246223513560837
70701,70800,100,3888.8576543570125,0.0008550415587706084,0.999878751039505,0.999443359375,0.14956314938375725
70801,70900,100,3894.432433953005,0.0008863054323774122,0.9998510837554931,0.999326171875,0.15151955590758007
70901,71000,100,3900.0228889580085,0.001362967908767132,0.9998225992918015,0.999384765625,0.22968706280822515
71001,71100,100,3905.6150586560216,0.001172339165204903,0.9998160928487778,0.999287109375,0.309567524016602
71101,71200,100,3911.18041476701,0.00033836000590781623,0.9999389678239823,0.99974609375,0.06194754517608089
71201,71300,100,3916.740789679021,2.227568784860523e-06,1.0,1.0,0.0001284367030893918
71301,71400,100,3922.3028356200175,4.2080610199946024e-07,1.0,1.0,1.2861550694651668e-05
71401,71500,100,3927.8875139780193,9.858363988257678e-08,1.0,1.0,1.5393004287034273e-06
71501,71600,100,3933.4416447980147,5.749847677094522e-08,1.0,1.0,7.69070096566793e-07
71601,71700,100,3939.0093681710187,7.525072970082647e-08,1.0,1.0,1.4292167588791927e-06
71701,71800,100,3944.5821202900206,8.981069782976191e-08,1.0,1.0,1.0534024346497972e-06
71801,71900,100,3950.147438857013,0.0009514155802671098,0.9999088573455811,0.999716796875,0.133208626015458
71901,72000,100,3955.686268942007,0.0015495745195948985,0.9998282968997956,0.9993359375,0.23019648500776385
72001,72100,100,3961.248388128004,0.001593027906783391,0.9997672641277313,0.999033203125,0.40926735247077883
72101,72200,100,3966.820804345003,0.0015635165716412303,0.9997892379760742,0.99916015625,0.4664787272072863
72201,72300,100,3972.375625120001,0.0013229616716944293,0.9998217874765396,0.999287109375,0.23333351000153926
72301,72400,100,3977.9145687960117,0.0009010490454420505,0.999875494837761,0.99951171875,0.1896495724032866
72401,72500,100,3983.4976905270123,0.001080968691749149,0.9998567801713943,0.99939453125,0.25474552483821755
72501,72600,100,3989.05091621101,0.0010881278900524193,0.999864102602005,0.999482421875,0.23172612113470678
72601,72700,100,3994.6636017830115,0.0013766373707858293,0.9998217874765396,0.999345703125,0.35472928670002146
72701,72800,100,4000.2738407729976,0.0011878336527297506,0.9998445725440979,0.999365234375,0.1954954879602883
72801,72900,100,4005.8830636239873,0.001165673964251255,0.9998356223106384,0.999306640625,0.4353152708435664
72901,73000,100,4011.4730133799967,0.0010259968936952646,0.9998462015390396,0.999326171875,0.19179552381392567
73001,73100,100,4017.070731593998,0.0009684773692970338,0.9998592215776444,0.99943359375,0.2074251353275031
73101,73200,100,4022.6912630330116,0.0010865379810320519,0.999839688539505,0.999326171875,0.20648267375247087
73201,73300,100,4028.2895489510083,0.0010291424478054978,0.9998624736070633,0.99947265625,0.1479759033920709
73301,73400,100,4033.8768257580123,0.0007762479680059187,0.9998673582077027,0.99943359375,0.1524830055050552
73401,73500,100,4039.4766199220103,0.0008961897732388024,0.9998877030611039,0.99947265625,0.14921785080572592
73501,73600,100,4045.0734666680146,0.0009554763804590038,0.9998559647798538,0.9994140625,0.1952008828081307
73601,73700,100,4050.6961852730037,0.001230866284831791,0.9998266690969467,0.999296875,0.2074487490026513
73701,73800,100,4056.3172770910132,0.0005730907032011601,0.9999039816856384,0.999443359375,0.16620205614191946
73801,73900,100,4061.9426789560257,0.0007481258405096014,0.9998933988809585,0.99953125,0.11874436502635945
73901,74000,100,4067.509038574033,7.212505794313984e-06,1.0,1.0,0.002258433057777438
74001,74100,100,4073.0211232640286,6.099630269318368e-07,1.0,1.0,1.4808279356657294e-05
74101,74200,100,4078.5381416860273,1.4649486104190146e-07,1.0,1.0,3.010239125842418e-06
74201,74300,100,4084.0652880710186,6.528175379827416e-08,1.0,1.0,1.2182700754692633e-06
74301,74400,100,4089.5469646900146,0.0002718554648384597,0.9999560570716858,0.999794921875,0.06946560625406278
