first_update,update,updates_in_bin,training_seconds,state_ce,token_accuracy
36501,36600,100,1972.3455260952214,0.00047635451948735863,0.9999218791723251
36601,36700,100,1977.6764563981997,2.1163958413126237e-05,0.9999991863965988
36701,36800,100,1983.0779580251947,0.0003869343207315978,0.9999332708120346
36801,36900,100,1988.4701621321838,0.002346789261318918,0.9996500772237777
36901,37000,100,1993.8385641411842,0.001467242766666459,0.9997477316856385
37001,37100,100,1999.209910180205,0.0018103172201881534,0.9997363412380218
37101,37200,100,2004.5912401632158,0.0008969616995818797,0.9998575937747955
37201,37300,100,2009.940140484192,0.0015571164421271533,0.9997290182113647
37301,37400,100,2015.3081385612022,0.001351941302054911,0.999754244685173
37401,37500,100,2020.643803794217,0.0017225207969386246,0.9997037893533707
37501,37600,100,2026.0112442492245,0.0016437234903423814,0.9997526162862778
37601,37700,100,2031.3662115372244,0.0017495332616090308,0.9997119277715683
37701,37800,100,2036.7204467732117,0.0011552026743083842,0.9998193454742431
37801,37900,100,2042.0912539902165,0.0016190512713365024,0.9997363400459289
37901,38000,100,2047.479665766201,0.0012816668955565546,0.9997884213924408
38001,38100,100,2052.8661218391935,0.001144307847971504,0.9998193448781967
38101,38200,100,2058.231279112166,0.0019188601386122173,0.999695650935173
38201,38300,100,2063.613378337148,0.0019209184636565623,0.9997159904241562
38301,38400,100,2068.9982520461635,0.0010698944779505837,0.9998274821043015
38401,38500,100,2074.3852179301757,0.0014109875123540405,0.9997859811782837
38501,38600,100,2079.7917590451725,0.0009235611523035913,0.9998543393611908
38601,38700,100,2085.1764196441727,0.0015562699788279134,0.9997550588846207
38701,38800,100,2090.552391937177,0.0012432930318027502,0.9998014414310455
38801,38900,100,2095.930987683183,0.0009378393739098101,0.9998429453372956
38901,39000,100,2101.3058197271675,0.0017455287509801564,0.9997086703777314
39001,39100,100,2106.711601942163,0.0017985197126836284,0.9997208786010742
39101,39200,100,2112.1162541631675,0.0014463470442569815,0.9997599422931671
39201,39300,100,2117.486669295169,0.0012098519549908816,0.9997916805744171
39301,39400,100,2122.8765296191777,0.001616138643512386,0.9997583097219467
39401,39500,100,2128.2704778931584,0.001112084897577006,0.9998160922527313
39501,39600,100,2133.642569252159,0.001867753362894291,0.9997046011686325
39601,39700,100,2139.02406947314,0.0013289630231884076,0.9997737723588943
39701,39800,100,2144.38496790114,0.001361065050077741,0.9997900503873826
39801,39900,100,2149.7830036561536,0.0014962145932440763,0.9997339016199112
39901,40000,100,2155.1542309721663,0.001281467857552343,0.9997802823781967
40001,40100,100,2160.5612994461735,0.0010505952126914054,0.999828297495842
40101,40200,100,2165.940958601186,0.0012787106687756023,0.9997933059930801
40201,40300,100,2171.379614045185,0.0015392845164751633,0.9997428512573242
40301,40400,100,2176.7842512321913,0.001509573516814271,0.9997509908676148
40401,40500,100,2182.170112640215,0.000994488493379322,0.9998372495174408
40501,40600,100,2187.528422551237,0.000927315113003715,0.9998453885316849
40601,40700,100,2192.928171621239,0.0014744957911898382,0.9997477328777313
40701,40800,100,2198.3379273002356,0.0009643558236712125,0.9998258554935455
40801,40900,100,2203.7218211432373,0.0008167611970566213,0.9998470169305801
40901,41000,100,2209.1019592872435,0.0022240382619202136,0.9996753072738648
41001,41100,100,2214.496358298231,0.0014257941040341394,0.9998014432191848
41101,41200,100,2219.9083597492463,0.001326658863836201,0.9998014426231384
41201,41300,100,2225.302565006248,0.0018666998816479464,0.999697277545929
41301,41400,100,2230.685713183251,0.0014537694116734201,0.999772145152092
41401,41500,100,2236.0753247952307,0.0013088213901937707,0.9997876077890396
41501,41600,100,2241.4487467732433,0.0014676137819333234,0.9997648233175278
41601,41700,100,2246.8157398522344,0.0013810973271756665,0.9997786617279053
41701,41800,100,2252.2193675792078,0.001033309797057882,0.9998209738731384
41801,41900,100,2257.6583496941894,0.0017425191632355562,0.9997485452890396
41901,42000,100,2263.0617593231946,0.0018008155964344041,0.9997322714328766
42001,42100,100,2268.473001283197,0.001510986784051056,0.9997558742761612
42101,42200,100,2273.9112004231974,0.002092995899292873,0.999690768122673
42201,42300,100,2279.3148822202056,0.0015014465406420641,0.9997688925266266
42301,42400,100,2284.731302505181,0.0006897552870941581,0.9998852604627609
42401,42500,100,2290.1688776971714,1.6398012021454634e-05,1.0
42501,42600,100,2295.6582338131593,0.001052939463961593,0.9997933059930801
42601,42700,100,2301.0626580162025,0.001575963871910062,0.9997428488731385
42701,42800,100,2306.5050346841963,0.0011939977660949807,0.9998112064599991
42801,42900,100,2311.9065669142,0.001325941833856632,0.9997884213924408
42901,43000,100,2317.2889773181923,0.00156225075799739,0.9997672629356384
43001,43100,100,2322.684133081213,0.0012837395845417632,0.99977947473526
43101,43200,100,2328.092740166234,0.0018275818253823673,0.9997542405128479
43201,43300,100,2333.5073098822504,0.0008481836234204821,0.999838879108429
43301,43400,100,2338.911848023261,0.0007357449080882361,0.9998803794384002
43401,43500,100,2344.312017765249,0.0013769090027926723,0.9997599387168884
43501,43600,100,2349.737223437245,0.0009647513183881529,0.9998372513055801
43601,43700,100,2355.1675484262596,0.0011515430392319104,0.9998201584815979
43701,43800,100,2360.617095039237,0.001052794766583247,0.9998128354549408
43801,43900,100,2366.015987869232,0.0012350719415189814,0.9997835385799408
43901,44000,100,2371.435143309227,0.0008510728570399806,0.9998494565486908
44001,44100,100,2376.823964832227,0.0009313860358452075,0.9998356240987778
44101,44200,100,2382.2168590932233,0.0014124484528292669,0.9997420364618301
44201,44300,100,2387.637015456232,0.0006998590628063539,0.9998917734622955
44301,44400,100,2393.0264509032713,0.0008888957954332,0.9998559659719467
44401,44500,100,2398.424881426261,0.0016788659247686155,0.9997363394498825
44501,44600,100,2403.842785726276,0.0013990134928462794,0.999760752916336
44601,44700,100,2409.231334106269,0.0016397281265017227,0.9997282028198242
44701,44800,100,2414.6226176402743,0.0015695695490285288,0.9997802829742432
44801,44900,100,2420.026282058283,0.0016191213867568876,0.9997583132982254
44901,45000,100,2425.429946226257,0.0011604045711283107,0.9998356223106384
45001,45100,100,2430.849885847274,0.0009458262644693605,0.9998624759912491
45101,45200,100,2436.2164136892898,0.0016076101901126095,0.9997558712959289
45201,45300,100,2441.605441548276,0.0012774061988602625,0.9998038852214813
45301,45400,100,2446.994360857294,0.0012917124107480048,0.999799816608429
